room id,star rating,Accuracy,Communication,Cleanliness,Location,Check In,Value,comments
435211,5,9,10,10,10,10,10,cecily;great;host;v;hospitable;helped;get;lay;land;quickly;first;time;austin;gave;good;recommendations;great;places;eat;drink;listen;music;space;certainly;enough;person;comfortable;assumption;spend;v;little;time;since;there's;much;see;austin
,,,,,,,,cecily;nice;host;barely;saw;daughter;adorable;bedroom;bathroom;super;clean
,,,,,,,,comfortable;quiet;great;place;use;base;work;exploring;austin;thanks
,,,,,,,,perfect;location;stay;cecily;accommodating;even;though;unfortunately;get;meet
,,,,,,,,cecily;wonderful;host;communicated;clearly;stay;perfect;needed;bedroom;bathroom;quick;trip;austin;business
,,,,,,,,cecily;nice;welcoming;bedroom;spacious;bed;comfortable;clean;cecily;set;pitcher;glasses;bedroom;thought;everything;house;cozy;full;interesting;art;books;basement;apartment;much;natural;light;slightly;stuffy;overall;perfect;place;stay;enjoyed;thoroughly
,,,,,,,,cecily;charming;thoughtful;host;town;festival;kept;late;hours;nice;lights;always;left;cecily;made;provisions;breakfast;enjoyed;chatting;adorable;daughter;apartment;basic;cosy;tastefully;furnished;located;beautiful;area;town;that's;far;austin's;must;see;sights;highly;recommended
,,,,,,,,cecily;amazing;helpful;space;perfect;us;location;could;better;would;love;stay
,,,,,,,,another;exceptional;stay;cecily's;place;truly;amazing;hostess;made;feel;welcome;really;enjoyed;conversations;local;amenities;events;also;made;sure;stay;comfortable;quiet;relaxing;room;bathroom;prepared;clean;upon;arrival;stayed;way;throughout;great;neighborhood;great;location;would;definitely;stay;thank;cecily;rock
,,,,,,,,cecily;daughter;wonderful;place;great;great;location;everything;went;smoothly;staying;cecily;made;terrific;trip;much;better;would;enthusiastically;recommend;anyone;coming;austin;thanks;much;cecily
,,,,,,,,cousin;much;enjoyed;stay;cecily;warm;welcoming;host;apartment;charming;location;quiet;despite;super;convenient;downtown;location;also;found;space;clean;thank;hosting;us
,,,,,,,,makes;feel;home;place;clean;cozy;convenient;cecily;went;way;make;sure;loved;everything;sweet;lady;daughter;angel;lovely;family;greatful
